synthetic_id,year_available,address,rooms,price,floors,lon,elevator,lat,area,neighbourhood,districte,section,district_id,section_id,census_tract_INE,census_tract_IDESCAT,barri_oficial
,2026,"Calle Doctor Pascual i Prats, 1",1.0,750,1.0,2.824609,False,41.976921,50,Carme-Vistalegre,1.0,3,01,003,1707901003,17079201003,Centre
,2026,Ronda Ferran Puig,3.0,1350,4.0,2.81703,True,41.98511,108,Devesa,3.0,4,03,004,1707903004,17079203004,Eixample
,2026,"Calle de les Ballesteries, 15",1.0,1020,3.0,2.82489,False,41.985732,87,Barri Vell,4.0,1,04,001,1707904001,17079204001,Centre
,2026,"Calle del Riu Güell, 3",2.0,2700,3.0,2.819352,True,41.985791,190,Devesa,3.0,3,03,003,1707903003,17079203003,Eixample
,2026,"Calle Barcelona, 43",3.0,2200,4.0,2.818067,True,41.978423,100,Eixample,2.0,5,02,005,1707902005,17079202005,Eixample
,2026,Eixample,3.0,3400,3.0,2.818438,True,41.98007,131,,2.0,3,02,003,1707902003,17079202003,Eixample
,2026,"Avenida de Sant Narcís, 18",4.0,1550,5.0,2.813899,True,41.978559,108,Sant Narcís,3.0,15,03,015,1707903015,17079203015,Eixample
,2026,"Calle Migdia, 16",3.0,1800,1.0,2.820736,True,41.976567,96,Eixample,2.0,6,02,006,1707902006,17079202006,Eixample
,2026,Calle de Fontajau,3.0,1000,,2.815752,,41.991329,65,Fontajau-Domeny,6.0,1,06,001,1707906001,17079206001,Oest
,2026,Calle Emili Grahit,4.0,2600,4.0,2.829866,False,41.973349,164,Eixample,2.0,14,02,014,1707902014,17079202014,Sud
,2026,Calle Barcelona,4.0,1600,,2.812528,,41.965464,155,Eixample,2.0,22,02,022,1707902022,17079202022,Eixample
,2026,"Calle de Pedret, 14",2.0,1600,3.0,2.826301,False,41.990974,65,Barri Vell,5.0,2,05,002,1707905002,17079205002,Nord
,2026,"Plaza europa, s/n",4.0,1650,4.0,2.809952,True,41.97382,110,Sant Narcís,3.0,6,03,006,1707903006,17079203006,Eixample
,2026,Calle Auriga,3.0,1495,1.0,2.825123,True,41.98231,90,Barri Vell,1.0,1,01,001,1707901001,17079201001,Centre
,2026,Calle de les Ballesteries,1.0,1100,1.0,2.824818,False,41.986073,50,Barri Vell,4.0,1,04,001,1707904001,17079204001,Centre
,2026,Pujada de Sant Martí,,750,3.0,2.826062,False,41.984288,54,Barri Vell,1.0,1,01,001,1707901001,17079201001,Centre
,2026,Calle de les Ferreries Velles,3.0,1250,,2.825042,,41.984028,89,Barri Vell,4.0,1,04,001,1707904001,17079204001,Centre
,2026,Paseo de la Devesa,1.0,680,4.0,2.821286,True,41.981407,35,Devesa,2.0,1,02,001,1707902001,17079202001,Centre
,2026,Calle de la Força,2.0,1300,3.0,2.825205,True,41.986245,96,Barri Vell,4.0,1,04,001,1707904001,17079204001,Centre
,2026,Pujada de la Catedral,1.0,1124,2.0,2.826046,False,41.986864,71,Barri Vell,4.0,1,04,001,1707904001,17079204001,Centre
,2026,Calle Bisbe Lorenzana,2.0,2304,1.0,2.820586,True,41.978459,87,Eixample,2.0,4,02,004,1707902004,17079202004,Eixample
,2026,Travesía de la Creu,2.0,1200,,2.821747,,41.975942,90,Eixample,2.0,6,02,006,1707902006,17079202006,Eixample
,2026,Montilivi-Pericot,4.0,2500,,2.826648,,41.97363,249,,2.0,9,02,009,1707902009,17079202009,Sud
,2026,Eixample,2.0,2300,2.0,2.818438,True,41.98007,90,,2.0,3,02,003,1707902003,17079202003,Eixample
,2026,Eixample,3.0,2620,2.0,2.818438,True,41.98007,100,,2.0,3,02,003,1707902003,17079202003,Eixample
