lat,lon,barri_oficial,price,area,price_per_m2,year_available
41.976921,2.824609,Centre,750,50,15.0,2026
41.98511,2.81703,Eixample,1350,108,12.5,2026
41.985732,2.82489,Centre,1020,87,11.724137931034482,2026
41.985791,2.819352,Eixample,2700,190,14.210526315789474,2026
41.978423,2.818067,Eixample,2200,100,22.0,2026
41.98007,2.818438,Eixample,3400,131,25.954198473282442,2026
41.978559,2.813899,Eixample,1550,108,14.351851851851851,2026
41.976567,2.820736,Eixample,1800,96,18.75,2026
41.991329,2.815752,Oest,1000,65,15.384615384615385,2026
41.973349,2.829866,Sud,2600,164,15.853658536585366,2026
41.965464,2.812528,Eixample,1600,155,10.32258064516129,2026
41.990974,2.826301,Nord,1600,65,24.615384615384617,2026
41.97382,2.809952,Eixample,1650,110,15.0,2026
41.98231,2.825123,Centre,1495,90,16.61111111111111,2026
41.986073,2.824818,Centre,1100,50,22.0,2026
41.984288,2.826062,Centre,750,54,13.88888888888889,2026
41.984028,2.825042,Centre,1250,89,14.044943820224718,2026
41.981407,2.821286,Centre,680,35,19.428571428571427,2026
41.986245,2.825205,Centre,1300,96,13.541666666666666,2026
41.986864,2.826046,Centre,1124,71,15.830985915492958,2026
41.978459,2.820586,Eixample,2304,87,26.482758620689655,2026
41.975942,2.821747,Eixample,1200,90,13.333333333333334,2026
41.97363,2.826648,Sud,2500,249,10.040160642570282,2026
41.98007,2.818438,Eixample,2300,90,25.555555555555557,2026
41.98007,2.818438,Eixample,2620,100,26.2,2026
41.99181,2.805486,Oest,1900,113,16.8141592920354,2026
41.978954,2.819229,Eixample,1300,70,18.571428571428573,2026
41.985352,2.819772,Eixample,1550,87,17.816091954022987,2026
41.983803,2.823177,Centre,1600,107,14.953271028037383,2026
41.98231,2.825123,Centre,1500,66,22.727272727272727,2026
41.994252,2.808535,Oest,1500,50,30.0,2026
41.994252,2.808535,Oest,1500,70,21.428571428571427,2026
41.994252,2.808535,Oest,1500,70,21.428571428571427,2026
41.984028,2.825042,Centre,1250,89,14.044943820224718,2026
41.969446,2.823917,Eixample,1200,127,9.448818897637794,2026
41.987587,2.824147,Centre,1100,50,22.0,2026
41.979301,2.819944,Eixample,5000,199,25.12562814070352,2026
41.995144,2.831818,Montjuïc,2800,304,9.210526315789474,2026
41.984325,2.824916,Centre,1800,96,18.75,2026
