census_tract,metres_cadastre,emissions_de_co2,qual_energia,qual_emissions,data_entrada,motiu,us_edifici,zona_climatica,energia_primaria,cost_energia
1707903003,45,29.35,E,,,Lloguer,Habitatge individual en bloc d'habitatges,D2,118.06,NaN
1707902010,54.66,41.3,E,,2015-10-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,166.09,591.56
1707902018,77.1,14.89,D,,2015-09-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,72.47,NaN
1707902019,145.75,75.78,F,,2016-07-01,Compravenda,Habitatge unifamiliar,D2,292.12,NaN
1707902002,73,30.39,E,,,Lloguer,Habitatge individual en bloc d'habitatges,D2,145.32,630.83
1707905001,111,38.76,E,,,Lloguer,Habitatge individual en bloc d'habitatges,D2,188.03,NaN
1707902015,41.1,24.57,E,,2016-06-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,118.38,NaN
1707902006,98.2,30.9,C,,,Lloguer,Terciari,D2,124,NaN
1707901004,34.62,29.21,E,,,Lloguer,Habitatge individual en bloc d'habitatges,D2,141.6,332.3
1707902014,116,19.07,E,,,Compravenda,Habitatge individual en bloc d'habitatges,D2,91.65,NaN
1707903012,77.7,29.28,E,,,Compravenda,Habitatge individual en bloc d'habitatges,D2,142.63,NaN
1707905002,76.62,22.93,E,,,Altres (cap de les anteriores opcions),Habitatge individual en bloc d'habitatges,D2,109.3,NaN
1707902017,146,38.4,D,,,Lloguer,Habitatge unifamiliar,D2,187.4,NaN
1707903011,63.12,40.8,E,,2016-02-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,157.24,55.32
1707901001,150,41.72,E,,2015-07-01,Compravenda,Bloc d'habitatges plurifamiliar,D2,159.97,101.96
1707902008,97,14.92,C,,2019-12-01,Lloguer,Terciari,D2,88.07,NaN
1707903003,75.1,35.3,E,,,Lloguer,Habitatge individual en bloc d'habitatges,D2,172.6,NaN
1707902018,104.91,25.36,E,,2015-09-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,124.38,NaN
1707903010,95.2,41.87,E,,,Lloguer,Habitatge individual en bloc d'habitatges,D2,198.33,NaN
1707902018,101.72,27.34,E,,,Lloguer,Habitatge individual en bloc d'habitatges,D2,131.94,NaN
1707902015,68.25,25.14,E,,,Lloguer,Habitatge individual en bloc d'habitatges,D2,121.81,NaN
1707902019,72,21.3,E,,,Lloguer,Habitatge individual en bloc d'habitatges,D2,102.75,NaN
1707902017,150,28.7,D,,2016-09-01,Lloguer,Habitatge unifamiliar,D2,140.1,NaN
1707901004,67,35.21,E,,2016-12-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,168.4,659.05
1707903010,600,55.02,C,,2015-11-01,Lloguer,Terciari,D2,131.88,NaN
1707906004,60.82,32.16,E,,,Lloguer,Habitatge individual en bloc d'habitatges,D2,125.25,NaN
1707906003,38.8,64.22,F,,,Lloguer,Habitatge individual en bloc d'habitatges,D2,321.99,NaN
1707902001,46.5,7.1,E,,,Lloguer,Terciari,D2,72.2,NaN
1707902018,86,38.96,E,E,,Lloguer,Habitatge unifamiliar,D2,193.31,11.24
1707902006,116,43.85,F,F,,Lloguer,Habitatge individual en bloc d'habitatges,D2,214.17,1386.78
1707902001,130,43.42,E,E,2021-07-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,205.42,10.49
1707906003,52,31.37,E,D,2016-02-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,149.98,370.92
1707902002,90,42.86,E,E,2021-10-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,205.16,10.84
1707902009,48.25,19.5,D,B,,Compravenda,Habitatge individual en bloc d'habitatges,D2,98.5,NaN
1707903011,66,51.61,E,E,2022-05-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,266.93,17.08
1707902015,306,7.62,A,C,,Sol·licitud d'ajuts,Habitatge unifamiliar,D2,44.97,3.65
1707903005,93,42.03,E,E,2025-05-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,248.13,20.14
1707902011,80.55,46.2,E,E,2016-04-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,218.9,NaN
1707902006,1174,7.13,B,A,2019-02-01,Altres (cap de les anteriores opcions),Bloc d'habitatges plurifamiliar,D2,42.1,0.34
1707903008,68,36.48,E,E,2018-12-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,173.79,616
1707902017,715,41.7,E,F,,Lloguer,Terciari,D2,239.5,12292.56
1707903005,80,36,E,E,2016-06-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,174.6,738.21
1707903005,78.79,61.65,F,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,291.39,1169.71
1707904002,78,8.32,A,C,,Certificació voluntària,Habitatge unifamiliar,D2,49.09,3.98
1707905005,60,61.52,F,F,2025-03-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,291.55,14.96
1707902018,177,42.49,E,E,,Certificació voluntària,Habitatge unifamiliar,D2,244.69,19.11
1707901006,51,89.72,F,F,,Compravenda,Habitatge unifamiliar,D2,424.98,21.79
1707905003,64,45.22,E,E,2019-11-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,214.68,11.08
1707902005,78.1,60.8,F,E,2017-10-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,287.38,1143.5
1707903003,69.35,47.14,E,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,241.37,1047.75
1707902009,80,18.9,D,D,,Compravenda,Habitatge individual en bloc d'habitatges,D2,96.4,NaN
1707905003,68.9,58.37,E,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,276.63,978.47
1707902020,244,6.37,A,A,2023-09-01,Altres (cap de les anteriores opcions),Habitatge unifamiliar,D2,36.01,2.72
1707904002,59.66,30.12,E,B,,Lloguer,Habitatge individual en bloc d'habitatges,D2,146.93,568.53
1707902011,33,29.98,E,D,,Compravenda,Habitatge individual en bloc d'habitatges,D2,147.89,57.04
1707903003,160,11.77,B,A,,Altres (cap de les anteriores opcions),Habitatge unifamiliar,D2,69.48,5.64
1707902015,104,42.6,E,D,,Lloguer,Habitatge individual en bloc d'habitatges,D2,201.74,10.34
1707902004,1155,45.29,E,E,,Altres (cap de les anteriores opcions),Bloc d'habitatges plurifamiliar,D2,177.51,1.28
1707902007,64,58.76,E,E,2019-03-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,279.27,NaN
1707902021,75,13.57,D,D,,Lloguer,Terciari,D2,67.73,NaN
1707906001,95,38.69,E,E,2018-05-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,182.97,886.7
1707903001,67.3,32.99,E,D,2018-04-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,194.76,1090.54
1707903017,86,39.76,E,E,2020-01-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,188.49,9.68
1707902022,67,18.74,D,B,,Lloguer,Habitatge individual en bloc d'habitatges,D2,93.13,364.15
1707903003,54,62.81,G,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,370.81,1.09
1707905006,94,31.59,E,D,,Compravenda,Habitatge individual en bloc d'habitatges,D2,149.87,7.72
1707903001,37,49.81,E,E,2024-10-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,261.69,17.31
1707905004,71,69.94,G,F,,Compravenda,Habitatge unifamiliar,D2,344.79,25.16
1707902010,107,35.61,D,F,,Lloguer,Terciari,D2,186.75,12.31
1707903007,48.05,63.89,F,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,304.11,759.88
1707902013,46.8,61.6,G,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,345.61,1210.17
1707902005,75,35.87,E,D,,Lloguer,Habitatge individual en bloc d'habitatges,D2,170.2,8.77
1707903010,57,88.12,G,G,2022-05-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,418.84,21.68
1707906001,83,41.64,E,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,197.84,10.23
1707903007,68,65.73,G,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,361.76,26.17
1707902009,53,42.22,E,E,2022-02-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,201.19,10.5
1707906001,31,88.46,F,F,2025-09-01,Compravenda,Terciari,D2,522.19,42.38
1707902018,76,51.51,E,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,244.28,12.57
1707904001,64,24.42,E,D,2025-12-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,144.13,11.7
1707902014,56,44.9,E,E,2025-03-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,246.83,17.82
1707903004,117,43.72,E,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,207.79,1258.87
1707906002,75.17,13.81,C,B,2018-05-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,68.12,293.29
1707901006,56,68.7,G,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,405.7,NaN
1707905003,61,33.09,E,D,,Compravenda,Habitatge individual en bloc d'habitatges,D2,166.4,9.99
1707904001,32.8,36.88,E,D,2017-02-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,197.53,445.45
1707906001,101,55.91,E,E,,Compravenda,Habitatge unifamiliar,D2,264.7,13.55
1707903006,81.93,70.77,G,F,2018-09-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,334.92,1402.7
1707903003,2435.14,43.2,C,D,,Lloguer,Terciari,D2,221.5,33845.95
1707901001,115,41.5,D,G,,Lloguer,Terciari,D2,238.48,2127.03
1707902010,50.03,36.8,E,D,2016-12-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,174.1,446.04
1707902009,80,45.1,E,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,214.1,882.3
1707903012,90,25.88,D,C,2023-08-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,124.64,6.7
1707902012,81.91,32.64,E,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,158.48,799.62
1707903014,130,36,E,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,170.29,8.69
1707904001,58,31.22,E,D,2025-10-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,147.44,7.49
1707902003,759.35,77.8,E,G,,Altres (cap de les anteriores opcions),Terciari,D2,427.5,23401.78
1707903017,81,39.94,E,E,2024-05-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,188.79,9.62
1707903021,70,37.7,E,E,2017-02-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,179.21,649.51
1707901001,58,56.84,F,D,,Compravenda,Terciari,D2,335.52,27.23
1707903004,101,40.53,E,E,2023-11-01,Certificació voluntària,Habitatge individual en bloc d'habitatges,D2,192.23,9.89
1707903003,78,55.18,G,F,,Lloguer,Habitatge individual en bloc d'habitatges,D2,274.86,16.13
