address,price,area,rooms,neighbourhood,floors,elevator,lat,lon
"Calle Doctor Pascual i Prats, 1",750,50,1,Carme-Vistalegre,1,false,41.976921,2.824609
Ronda Ferran Puig,1350,108,3,Devesa,4,true,41.98511,2.81703
"Calle de les Ballesteries, 15",1020,87,1,Barri Vell,3,false,41.985732,2.82489
"Calle del Riu Güell, 3",2700,190,2,Devesa,3,true,41.985791,2.819352
"Calle Barcelona, 43",2200,100,3,Eixample,4,true,41.978423,2.818067
Eixample,3400,131,3,,3,true,41.98007,2.818438
"Avenida de Sant Narcís, 18",1550,108,4,Sant Narcís,5,true,41.978559,2.813899
"Calle Migdia, 16",1800,96,3,Eixample,1,true,41.976567,2.820736
"Calle Riu Ser, 4",2250,190,4,Migdia Casernes,4,true,41.923817,2.764141
Calle de Fontajau,1000,65,3,Fontajau-Domeny,,,41.991329,2.815752
Calle de Santa Eugènia,1400,115,2,Devesa,,,39.622463,2.836456
Calle Emili Grahit,2600,164,4,Eixample,4,false,41.973349,2.829866
Calle de Santa Eugènia,1700,75,2,Devesa,4,true,39.622463,2.836456
Calle Barcelona,1600,155,4,Eixample,,,41.965464,2.812528
"Calle de Pedret, 14",1600,65,2,Barri Vell,3,false,41.990974,2.826301
"Plaza europa, s/n",1650,110,4,Sant Narcís,4,true,41.97382,2.809952
Calle Auriga,1495,90,3,Barri Vell,1,true,41.98231,2.825123
Calle de les Ballesteries,1100,50,1,Barri Vell,1,false,41.986073,2.824818
Pujada de Sant Martí,750,54,,Barri Vell,3,false,41.984288,2.826062
Calle de les Ferreries Velles,1250,89,3,Barri Vell,,,41.984028,2.825042
Paseo de la Devesa,680,35,1,Devesa,4,true,41.981407,2.821286
"Oriol Martorell, 28",1650,138,4,Migdia Casernes,3,true,41.923817,2.764141
Calle de la Força,1300,96,2,Barri Vell,3,true,41.986245,2.825205
Fontajau-Domeny,950,65,3,,7,false,41.992573,2.789045
Calle Saragossa,1500,170,4,Migdia Casernes,1,false,41.923817,2.764141
Pujada de la Catedral,1124,71,1,Barri Vell,2,false,41.986864,2.826046
Calle Bisbe Lorenzana,2304,87,2,Eixample,1,true,41.978459,2.820586
Travesía de la Creu,1200,90,2,Eixample,,,41.975942,2.821747
