synthetic_id,year_available,address,price,area,rooms,neighbourhood,floors,elevator,lat,lon
2015-0001,2015,"Calle de Santiago, 62",1145,62,2,Migdia Casernes,1,False,41.96831834614794,2.81618835212095
2015-0002,2015,"Calle de Sant Agustí, 42",695,67,2,Migdia Casernes,4,True,41.970975172362095,2.8211032528026756
2015-0003,2015,"Calle Mare de Déu del Remei, 11",755,91,4,Sant Narcís,2,True,41.976792721136675,2.812299762401602
2015-0004,2015,"Calle Bonastruc de Porta, 67",755,104,3,Devesa,1,False,41.9849382463009,2.8198154942802613
2015-0005,2015,"Calle Jocs Olímpics de Barcelona, 33",1020,86,3,Palau,0,True,41.958325953056914,2.820113655635293
2015-0006,2015,"Migdia Casernes, 76",625,66,2,,4,True,41.92388260657902,2.7644024286333844
2015-0007,2015,"Eixample, 35",1945,105,3,,5,True,41.97997409863509,2.818296888203712
2015-0008,2015,"Calle Bisbe Lorenzana, 63",2255,84,2,Eixample,1,True,41.97835853449101,2.8206348259195315
2015-0009,2015,"Rotonda de la Devesa, 54",735,89,3,Devesa,1,True,42.25050860870253,2.9405612941029986
2015-0010,2015,"Calle Barcelona, 35",1215,133,4,Eixample,1,True,41.96551156190732,2.8127156771181903
2015-0011,2015,"Calle Jocs Olímpics de Barcelona, 53",945,100,3,Palau,0,True,41.95872409174424,2.820220179297939
2015-0012,2015,"Calle Saragossa, 76",885,179,4,Migdia Casernes,1,False,41.923793084536726,2.7636347996698127
2015-0013,2015,"Barri Vell, 13",865,67,2,,1,True,41.984211551233784,2.825305768489336
2015-0014,2015,"Calle de les Ballesteries, 21",810,44,1,Barri Vell,2,False,41.986325092441234,2.8242998038730422
2015-0015,2015,"Barri Vell, 65",1355,58,3,,3,False,41.984394802863406,2.824922555643657
2015-0016,2015,"Avenida de Sant Narcís, 47",1295,105,5,Sant Narcís,5,True,41.97880953337377,2.814006061317745
2015-0017,2015,"Oriol Martorell, 15",970,127,4,Migdia Casernes,3,True,41.92400754528404,2.7640743331908704
2015-0018,2015,"Calle dels Calderers, 48",535,70,2,Barri Vell,0,False,41.98782632282998,2.8239391385639903
2015-0019,2015,"Travesía de la Creu, 39",855,83,2,Eixample,1,True,41.975887762734075,2.8221257940692364
2015-0020,2015,"Calle dels Ciutadans, 44",1140,108,3,Barri Vell,2,True,41.98393920603009,2.825761378974074
2015-0021,2015,"Eixample, 26",1160,94,3,,2,True,41.98070854091973,2.818191583996233
2015-0022,2015,"Calle Jaume Marquès i Casanovas, 78",655,100,3,Migdia Casernes,1,False,41.970030563691374,2.8227338216604445
2015-0023,2015,"Avenida de Sant Francesc, 26",1195,68,2,Barri Vell,1,True,41.982469997484074,2.821331408502167
2015-0024,2015,"Avenida de Sant Narcís, 38",935,111,4,Sant Narcís,5,False,41.979019726797596,2.8139539703311667
2015-0025,2015,"Travesía de la Creu, 26",755,67,1,Eixample,2,True,41.97636843328767,2.821473886295387
2015-0026,2015,"Gran Via de Jaume I, 80",605,71,2,Eixample,2,False,41.98336324455839,2.81983617547207
2015-0027,2015,"Montjuïc, 78",1670,302,4,,1,True,41.995043762967796,2.832092770762707
2015-0028,2015,"Calle Doctor Pascual i Prats, 10",615,50,1,Carme-Vistalegre,1,False,41.97722182734759,2.8247704346311013
2015-0029,2015,"Eixample, 75",2445,129,3,,3,True,41.979744683578325,2.8184651469344884
2015-0030,2015,"Canigó, 45",1600,130,1,Barri Vell,1,True,41.980952967399446,2.8268317878958107
2015-0031,2015,"Calle del Carme, 54",1010,61,2,Carme-Vistalegre,0,True,41.53677827567645,1.6594201681717902
2015-0032,2015,"Avenida de Lluís Pericot, 10",1145,93,4,Montilivi-Pericot,1,True,41.96911696432646,2.824468074058496
2015-0033,2015,"Calle de les Ballesteries, 71",750,83,1,Barri Vell,3,False,41.98565841664622,2.8251232012728185
2015-0034,2015,"Calle Andalusia, 13",1185,69,1,Talaia - Germans Sabat,2,False,41.994085401834354,2.8086764615567636
2015-0035,2015,"Pujada de Sant Martí, 5",520,55,2,Barri Vell,3,False,41.98407153258994,2.826156948278502
2015-0036,2015,"CL Cardenal Margarit, 19",850,70,3,Eixample,3,True,41.976736347315075,2.820998276558405
