id,name,category,subtype,lat,lon
31022931,,mobility,platform,41.9642527,2.8316389
250105520,c. Barcelona / c. Caldes de Montbui,mobility,platform,41.9718048,2.814933
354612955,,mobility,platform,41.976633,2.8023036
354880351,,mobility,platform,41.9569352,2.8200357
354880430,,mobility,platform,41.9624997,2.8322205
355729430,Rovira i Virgili,mobility,platform,41.9786682,2.8101806
387221033,Tennis Palau,mobility,platform,41.9511996,2.8164559
442690980,C. Rutlla 158,mobility,platform,41.972593,2.8216774
444720183,Ramon Folch (Jutjats),mobility,platform,41.9862623,2.8218133
444720185,Ramon Folch (Jutjats),mobility,platform,41.9865278,2.8219454
489735973,,mobility,platform,41.9968555,2.8160682
599567811,,mobility,platform,41.969761,2.8104897
614086821,Ciutat de Figueres,mobility,platform,41.9706099,2.8264384
623993645,Mercadona,food,supermarket,41.9918747,2.8193922
645760348,c. Barcelona / c. Emili Grahit,mobility,platform,41.9753376,2.8164415
664106756,Comissaria dels Mossos d'Esquadra a Girona,public_service,police,41.9776939,2.8252658
667294366,Farmàcia Lluís Pla i Cama,health,pharmacy,41.977902,2.8200042
670696143,Valvi,food,supermarket,41.9777468,2.8203992
670696186,Farmàcia Susana Palau,health,pharmacy,41.9821316,2.8187681
670696204,Farmàcia Riera Cardelús,health,pharmacy,41.9824711,2.819629
702283478,L11 - Santa Clara,mobility,platform,41.9850344,2.8234357
774726428,,food,convenience,41.9873527,2.8241424
774883306,Gairin,health,pharmacy,41.985751,2.8225315
783957309,Escola Sagrada Família,education,kindergarten,41.969614,2.8422214
783957438,Llar d'Infants La Caseta dels Infants,education,kindergarten,41.9816461,2.8136784
783957454,Insitut de Ciències Religioses,education,college,41.9850969,2.8274579
783957500,CSF Pipes,education,kindergarten,41.9730878,2.8209932
783957548,Llar Infantil Sol Solet,education,kindergarten,41.983732,2.816992
783957574,Llar d'Infants El Petit Lord,education,kindergarten,41.9676774,2.822738
783957637,Llar Infantil L'Esquirol,education,kindergarten,41.9737602,2.8108242
783957645,Llar d'Infants El Bolet,education,kindergarten,41.9704833,2.8101555
783957653,Llar d'Infants Cel Blau,education,kindergarten,41.9697147,2.8229922
783957663,Escola Bell-lloc del Pla,education,kindergarten,41.9688858,2.8062756
783957695,Institut Narcís Xifra i Masmitjà,education,school,42.0043127,2.8238835
783957702,Llar Infantil Sol Solet 2,education,kindergarten,41.9781497,2.8244866
783957892,Llar Infantil Teypi,education,kindergarten,41.9796988,2.819465
783957938,Llar Infantil Monis,education,kindergarten,41.9754407,2.8194779
783957982,Llar Infantil Infants 2,education,kindergarten,41.9753625,2.8045747
783957991,Escola Bressol El Tren,education,kindergarten,41.9710539,2.810296
783958028,Escola Font de la Pólvora,education,school,41.9740543,2.8424121
783958055,Llar d'Infants Ralet Ralet,education,kindergarten,41.970793,2.8221823
783958875,Biblioteca de L'Hospital J. Trueta,public_service,library,41.9977155,2.819991
783958906,Biblioteca de L'Arxiu Històric de Girona,public_service,library,41.9836193,2.8259268
783958947,Biblioteca Universitat de Girona,public_service,library,41.9845435,2.8280084
783958972,Biblioteca de la UNED-Girona,public_service,library,41.9823268,2.8259377
783958980,Biblioteca de Col·legi d'Advocats,public_service,library,41.9872775,2.8230633
783959042,Biblioteca del Col·legi d'Enginyers Tècnics Industrials de Girona,public_service,library,41.9793439,2.8183866
783959090,Biblioteca de L'Arxiu Municipal,public_service,library,41.9869309,2.8249253
783959141,Biblioteca Pública de Girona,public_service,library,41.9815697,2.8214345
783959157,Biblioteca Eliezer Eljanan Schalit,public_service,library,41.9860762,2.8254725
783959184,Biblioteca de La UdG. Campus Centre,public_service,library,41.9744968,2.8236095
783959192,Biblioteca del Col·legi d'Arquitectes de Catalunya. Dem. Girona,public_service,library,41.9871425,2.8253859
783959250,Biblioteca Antònia Adroher,public_service,library,41.9936788,2.8089215
