census_tract,year,fuente_de_ingreso_otras_prestaciones,fuente_de_ingreso_otros_ingresos,fuente_de_ingreso_pensiones,fuente_de_ingreso_prestaciones_por_desempleo,fuente_de_ingreso_salario,distribucion_de_la_renta_p80_p20,indice_de_gini,media_de_la_renta_por_unidad_de_consumo,mediana_de_la_renta_por_unidad_de_consumo,renta_bruta_media_por_hogar,renta_bruta_media_por_persona,renta_neta_media_por_hogar,renta_neta_media_por_persona,edad_media_de_la_poblacion,poblacion,porcentaje_de_hogares_unipersonales,porcentaje_de_poblacion_de_65_y_mas_anos,porcentaje_de_poblacion_espanola,porcentaje_de_poblacion_menor_de_18_anos,tamano_medio_del_hogar
1707901001,2015,1.8,20.4,13.8,2.0,62.1,3.3,39.6,19430.0,15400.0,36349.0,16565.0,28954.0,13196.0,39.1,1020.0,44.6,13.2,84.6,17.2,2.2
1707901001,2016,2.0,21.9,13.9,1.6,60.6,3.7,38.9,20791.0,17150.0,38625.0,17729.0,30986.0,14222.0,39.7,1019.0,45.3,13.4,86.7,16.8,2.1
1707901001,2017,2.2,21.0,11.9,1.5,63.4,3.6,39.3,21255.0,17150.0,40082.0,18396.0,31846.0,14616.0,39.3,1029.0,45.1,12.4,85.3,16.8,2.1
1707901001,2018,2.4,22.5,10.3,1.4,63.5,3.9,39.5,22320.0,17850.0,42995.0,19265.0,34048.0,15256.0,39.2,1062.0,43.5,12.0,82.4,16.0,2.2
1707901001,2019,2.6,21.4,11.1,1.6,63.3,3.6,39.9,23505.0,17850.0,44733.0,20010.0,35668.0,15955.0,39.2,1074.0,42.4,11.6,79.3,14.8,2.2
1707901001,2020,2.9,23.5,11.8,4.5,57.4,3.4,39.7,23390.0,17150.0,44661.0,20066.0,35538.0,15967.0,39.5,1056.0,44.2,11.6,77.5,13.8,2.2
1707901001,2021,2.8,22.0,10.9,2.8,61.4,3.4,37.2,24748.0,19950.0,47159.0,21754.0,36559.0,16865.0,40.1,1000.0,46.6,11.9,76.4,13.1,2.1
1707901001,2022,2.6,23.1,10.3,1.5,62.6,3.3,37.6,25559.0,20650.0,49522.0,22299.0,37957.0,17092.0,39.8,1079.0,42.7,11.3,74.0,13.2,2.2
1707901001,2023,2.3,23.1,11.1,1.3,62.2,3.1,37.4,27933.0,22050.0,56064.0,25401.0,43205.0,19575.0,39.5,1055.0,43.6,10.4,74.0,13.6,2.1
1707901002,2015,2.2,20.3,25.5,1.8,50.3,4.3,38.0,19866.0,17850.0,44341.0,15843.0,36418.0,13013.0,42.5,850.0,23.6,22.9,94.8,20.0,2.8
