lon,price,year_available,rooms,elevator,lat,floors,area,census_tract_INE,barri_oficial,metres_cadastre,emissions_de_co2,qual_energia,has_education_within_500m,has_food_within_500m,has_health_within_500m,has_mobility_within_500m,has_public_service_within_500m,renda_med,renda_mediana,gini,p80_p20,pct_65_plus,pct_under18,pct_single_household,sector_oficial
2.824609,750,2026,1.0,False,41.976921,1.0,50,1707901003,Centre,125.0,74.7,G,1,1,1,1,1,27181.0,24150.0,30.1,2.3,17.5,15.3,34.3,Carme
2.81703,1350,2026,3.0,True,41.98511,4.0,108,1707903004,Eixample,53.0,71.43,G,1,1,1,1,1,33467.0,31150.0,27.5,2.4,17.7,14.5,30.6,Eixample Nord
2.82489,1020,2026,1.0,False,41.985732,3.0,87,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.818067,2200,2026,3.0,True,41.978423,4.0,100,1707902005,Eixample,88.0,30.76,E,1,1,1,1,1,32911.0,28350.0,34.3,3.1,22.6,14.3,38.3,Eixample Nord
2.818438,3400,2026,3.0,True,41.98007,3.0,131,1707902003,Eixample,140.0,11.92,C,1,1,1,1,1,32451.0,26950.0,32.4,2.6,24.4,16.8,35.1,Eixample Nord
2.813899,1550,2026,4.0,True,41.978559,5.0,108,1707903015,Eixample,102.0,43.48,E,1,1,1,1,1,19255.0,17850.0,29.7,2.7,20.7,16.2,33.1,Eixample Nord
2.820736,1800,2026,3.0,True,41.976567,1.0,96,1707902006,Eixample,121.0,37.44,E,1,1,1,1,1,27935.0,24850.0,31.6,2.9,19.9,15.2,34.6,Eixample Nord
2.815752,1000,2026,3.0,False,41.991329,0.0,65,1707906001,Oest,82.0,47.55,E,0,1,1,1,0,25428.0,24150.0,24.3,2.0,18.3,16.2,21.6,Fontajau
2.829866,2600,2026,4.0,False,41.973349,4.0,164,1707902014,Sud,61.0,56.29,G,1,1,1,1,1,21642.0,18550.0,31.8,2.7,15.2,17.8,26.8,Montilivi
2.812528,1600,2026,4.0,False,41.965464,0.0,155,1707902022,Eixample,77.0,29.07,E,1,1,1,1,1,22795.0,21700.0,30.0,2.6,7.5,24.7,30.4,Eixample Sud
2.826301,1600,2026,2.0,False,41.990974,3.0,65,1707905002,Nord,59.0,49.21,E,1,1,1,1,1,19939.0,17150.0,28.7,2.4,15.8,15.8,35.9,Pedret
2.825123,1495,2026,3.0,True,41.98231,1.0,90,1707901001,Centre,62.0,73.03,G,1,1,1,1,1,27933.0,22050.0,37.4,3.1,10.4,13.6,43.6,Barri Vell
2.824818,1100,2026,1.0,False,41.986073,1.0,50,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.826062,750,2026,2.0,False,41.984288,3.0,54,1707901001,Centre,62.0,73.03,G,1,1,1,1,1,27933.0,22050.0,37.4,3.1,10.4,13.6,43.6,Barri Vell
2.825042,1250,2026,3.0,False,41.984028,0.0,89,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.821286,680,2026,1.0,True,41.981407,4.0,35,1707902001,Centre,158.0,39.46,F,1,1,1,1,1,35605.0,30450.0,35.4,3.1,25.7,18.6,37.8,Mercadal
2.825205,1300,2026,2.0,True,41.986245,3.0,96,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.826046,1124,2026,1.0,False,41.986864,2.0,71,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.820586,2304,2026,2.0,True,41.978459,1.0,87,1707902004,Eixample,65.0,47.64,F,1,1,1,1,1,32741.0,26950.0,33.9,3.1,23.6,16.6,36.4,Eixample Nord
2.821747,1200,2026,2.0,False,41.975942,0.0,90,1707902006,Eixample,121.0,37.44,E,1,1,1,1,1,27935.0,24850.0,31.6,2.9,19.9,15.2,34.6,Eixample Nord
2.826648,2500,2026,4.0,False,41.97363,0.0,249,1707902009,Sud,89.0,40.19,E,1,1,1,1,1,26669.0,23450.0,29.1,2.3,19.3,13.5,30.4,Montilivi
2.818438,2300,2026,2.0,True,41.98007,2.0,90,1707902003,Eixample,140.0,11.92,C,1,1,1,1,1,32451.0,26950.0,32.4,2.6,24.4,16.8,35.1,Eixample Nord
2.818438,2620,2026,3.0,True,41.98007,2.0,100,1707902003,Eixample,140.0,11.92,C,1,1,1,1,1,32451.0,26950.0,32.4,2.6,24.4,16.8,35.1,Eixample Nord
2.819229,1300,2026,2.0,True,41.978954,5.0,70,1707902003,Eixample,140.0,11.92,C,1,1,1,1,1,32451.0,26950.0,32.4,2.6,24.4,16.8,35.1,Eixample Nord
2.819772,1550,2026,3.0,True,41.985352,3.0,87,1707903003,Eixample,93.0,40.69,E,1,1,1,1,1,29305.0,24850.0,33.8,3.1,14.0,16.8,34.9,Eixample Nord
2.823177,1600,2026,2.0,False,41.983803,4.0,107,1707903001,Centre,77.0,48.51,E,1,1,1,1,1,33181.0,24850.0,37.8,3.3,18.0,16.1,42.0,Mercadal
2.825123,1500,2026,2.0,False,41.98231,3.0,66,1707901001,Centre,62.0,73.03,G,1,1,1,1,1,27933.0,22050.0,37.4,3.1,10.4,13.6,43.6,Barri Vell
2.825042,1250,2026,3.0,False,41.984028,0.0,89,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.823917,1200,2026,4.0,True,41.969446,2.0,127,1707902010,Eixample,58.0,56.65,E,1,1,1,1,1,26524.0,24150.0,26.2,2.2,15.4,16.0,34.1,Eixample Sud
2.824147,1100,2026,2.0,False,41.987587,5.0,50,1707904001,Centre,55.0,31.52,E,0,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.831818,2800,2026,4.0,False,41.995144,0.0,304,1707905001,Montjuïc,170.0,52.37,E,0,1,1,1,0,43994.0,36050.0,34.0,2.6,26.2,16.7,17.4,Montjuïc
2.824916,1800,2026,3.0,True,41.984325,1.0,96,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.821367,1650,2026,2.0,True,41.982422,1.0,80,1707902001,Centre,158.0,39.46,F,1,1,1,1,1,35605.0,30450.0,35.4,3.1,25.7,18.6,37.8,Mercadal
