synthetic_id,neighbourhood,address,lon,price,year_available,rooms,elevator,lat,floors,area,districte,section,district_id,section_id,census_tract_INE,census_tract_IDESCAT,barri_oficial,metres_cadastre,emissions_de_co2,qual_energia
,Carme-Vistalegre,"Calle Doctor Pascual i Prats, 1",2.824609,750,2026,1.0,False,41.976921,1.0,50,1.0,3,1,3,1707901003,17079201003,Centre,125.0,74.7,G
,Devesa,Ronda Ferran Puig,2.81703,1350,2026,3.0,True,41.98511,4.0,108,3.0,4,3,4,1707903004,17079203004,Eixample,53.0,71.43,G
,Barri Vell,"Calle de les Ballesteries, 15",2.82489,1020,2026,1.0,False,41.985732,3.0,87,4.0,1,4,1,1707904001,17079204001,Centre,55.0,31.52,E
,Devesa,"Calle del Riu Güell, 3",2.819352,2700,2026,2.0,True,41.985791,3.0,190,3.0,3,3,3,1707903003,17079203003,Eixample,93.0,40.69,E
,Eixample,"Calle Barcelona, 43",2.818067,2200,2026,3.0,True,41.978423,4.0,100,2.0,5,2,5,1707902005,17079202005,Eixample,88.0,30.76,E
,,Eixample,2.818438,3400,2026,3.0,True,41.98007,3.0,131,2.0,3,2,3,1707902003,17079202003,Eixample,140.0,11.92,C
,Sant Narcís,"Avenida de Sant Narcís, 18",2.813899,1550,2026,4.0,True,41.978559,5.0,108,3.0,15,3,15,1707903015,17079203015,Eixample,102.0,43.48,E
,Eixample,"Calle Migdia, 16",2.820736,1800,2026,3.0,True,41.976567,1.0,96,2.0,6,2,6,1707902006,17079202006,Eixample,121.0,37.44,E
,Fontajau-Domeny,Calle de Fontajau,2.815752,1000,2026,3.0,,41.991329,,65,6.0,1,6,1,1707906001,17079206001,Oest,82.0,47.55,E
,Eixample,Calle Emili Grahit,2.829866,2600,2026,4.0,False,41.973349,4.0,164,2.0,14,2,14,1707902014,17079202014,Sud,61.0,56.29,G
,Eixample,Calle Barcelona,2.812528,1600,2026,4.0,,41.965464,,155,2.0,22,2,22,1707902022,17079202022,Eixample,77.0,29.07,E
,Barri Vell,"Calle de Pedret, 14",2.826301,1600,2026,2.0,False,41.990974,3.0,65,5.0,2,5,2,1707905002,17079205002,Nord,59.0,49.21,E
