lon,price,year_available,rooms,elevator,lat,floors,area,census_tract_INE,barri_oficial,metres_cadastre,emissions_de_co2,qual_energia,has_education_within_500m,has_food_within_500m,has_health_within_500m,has_mobility_within_500m,has_public_service_within_500m,renda_med,renda_mediana,gini,p80_p20,pct_65_plus,pct_under18,pct_single_household,sector_oficial,ingresos_otros_prest,ingresos_otros,ingresos_pensiones,ingresos_desempleo,ingresos_salario,p80_p20.1,gini.1,renda_med.1,renda_mediana.1,renta_bruta_hogar,renta_bruta_persona,renta_neta_hogar,renta_neta_persona,edad_media,poblacion,pct_single_household.1,pct_65_plus.1,pct_espanola,pct_under18.1,tamany_mitja_hogar,has_education_within_500m,education_count_within_500m,has_food_within_500m,food_count_within_500m,has_health_within_500m,health_count_within_500m,has_mobility_within_500m,mobility_count_within_500m,has_public_service_within_500m,public_service_count_within_500m
2.824609,750,2026,1.0,False,41.976921,1.0,50,1707901003,Centre,125.0,74.7,G,1,1,1,1,1,27181.0,24150.0,30.1,2.3,17.5,15.3,34.3,Carme,2.7,14.0,16.9,1.2,65.3,2.3,30.1,27181.0,24150.0,57374.0,23819.0,44793.0,18596.0,41.7,1402.0,34.3,17.5,80.8,15.3,2.4,1,6,1,14,1,9,1,14,1,3
2.81703,1350,2026,3.0,True,41.98511,4.0,108,1707903004,Eixample,53.0,71.43,G,1,1,1,1,1,33467.0,31150.0,27.5,2.4,17.7,14.5,30.6,Eixample Nord,2.3,20.2,15.6,0.6,61.3,2.4,27.5,33467.0,31150.0,73480.0,29883.0,55782.0,22686.0,42.9,1192.0,30.6,17.7,89.0,14.5,2.4,1,6,1,8,1,12,1,13,1,3
2.82489,1020,2026,1.0,False,41.985732,3.0,87,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell,1.6,25.1,9.8,1.7,61.8,2.9,36.0,25336.0,19950.0,51678.0,24210.0,38616.0,18091.0,39.4,1081.0,42.9,11.6,67.5,13.5,2.1,1,5,1,15,1,8,1,23,1,16
2.818067,2200,2026,3.0,True,41.978423,4.0,100,1707902005,Eixample,88.0,30.76,E,1,1,1,1,1,32911.0,28350.0,34.3,3.1,22.6,14.3,38.3,Eixample Nord,2.0,27.0,18.6,0.8,51.5,3.1,34.3,32911.0,28350.0,69250.0,30166.0,52134.0,22710.0,43.6,924.0,38.3,22.6,82.5,14.3,2.3,1,6,1,21,1,17,1,49,1,4
2.818438,3400,2026,3.0,True,41.98007,3.0,131,1707902003,Eixample,140.0,11.92,C,1,1,1,1,1,32451.0,26950.0,32.4,2.6,24.4,16.8,35.1,Eixample Nord,2.2,26.4,20.8,0.8,49.8,2.6,32.4,32451.0,26950.0,70974.0,29629.0,53084.0,22160.0,44.3,1294.0,35.1,24.4,87.8,16.8,2.4,1,5,1,17,1,23,1,40,1,5
2.813899,1550,2026,4.0,True,41.978559,5.0,108,1707903015,Eixample,102.0,43.48,E,1,1,1,1,1,19255.0,17850.0,29.7,2.7,20.7,16.2,33.1,Eixample Nord,4.0,9.0,24.6,1.7,60.7,2.7,29.7,19255.0,17850.0,41935.0,15870.0,35021.0,13253.0,42.0,1983.0,33.1,20.7,69.4,16.2,2.6,1,4,1,14,1,8,1,47,1,1
2.820736,1800,2026,3.0,True,41.976567,1.0,96,1707902006,Eixample,121.0,37.44,E,1,1,1,1,1,27935.0,24850.0,31.6,2.9,19.9,15.2,34.6,Eixample Nord,2.4,19.5,21.4,1.1,55.7,2.9,31.6,27935.0,24850.0,60510.0,25054.0,46079.0,19079.0,42.5,2154.0,34.6,19.9,80.8,15.2,2.4,1,8,1,24,1,23,1,22,1,3
2.815752,1000,2026,3.0,False,41.991329,0.0,65,1707906001,Oest,82.0,47.55,E,0,1,1,1,0,25428.0,24150.0,24.3,2.0,18.3,16.2,21.6,Fontajau,3.7,7.7,21.0,1.2,66.5,2.0,24.3,25428.0,24150.0,54947.0,21085.0,44591.0,17111.0,43.4,1930.0,21.6,18.3,93.1,16.2,2.6,0,0,1,1,1,2,1,5,0,0
2.829866,2600,2026,4.0,False,41.973349,4.0,164,1707902014,Sud,61.0,56.29,G,1,1,1,1,1,21642.0,18550.0,31.8,2.7,15.2,17.8,26.8,Montilivi,4.3,13.6,16.3,1.7,64.2,2.7,31.8,21642.0,18550.0,48772.0,17631.0,39639.0,14330.0,40.2,1082.0,26.8,15.2,77.4,17.8,2.8,1,1,1,1,1,3,1,9,1,1
2.812528,1600,2026,4.0,False,41.965464,0.0,155,1707902022,Eixample,77.0,29.07,E,1,1,1,1,1,22795.0,21700.0,30.0,2.6,7.5,24.7,30.4,Eixample Sud,3.3,8.3,7.6,1.4,79.4,2.6,30.0,22795.0,21700.0,51314.0,18971.0,40473.0,14963.0,34.5,1942.0,30.4,7.5,78.9,24.7,2.7,1,3,1,4,1,1,1,16,1,1
2.826301,1600,2026,2.0,False,41.990974,3.0,65,1707905002,Nord,59.0,49.21,E,1,1,1,1,1,19939.0,17150.0,28.7,2.4,15.8,15.8,35.9,Pedret,5.3,8.1,18.6,1.6,66.4,2.4,28.7,19939.0,17150.0,39830.0,16515.0,33286.0,13801.0,41.0,972.0,35.9,15.8,71.9,15.8,2.4,1,2,1,1,1,2,1,18,1,1
2.825123,1495,2026,3.0,True,41.98231,1.0,90,1707901001,Centre,62.0,73.03,G,1,1,1,1,1,27933.0,22050.0,37.4,3.1,10.4,13.6,43.6,Barri Vell,2.3,23.1,11.1,1.3,62.2,3.1,37.4,27933.0,22050.0,56064.0,25401.0,43205.0,19575.0,39.5,1055.0,43.6,10.4,74.0,13.6,2.1,1,4,1,11,1,9,1,26,1,11
