DISTRICTE,SECCIÓ,district_id,section_id,census_tract_INE,census_tract_IDESCAT,BARRIS
1,1,01,001,1707901001,17079201001,Centre
1,2,01,002,1707901002,17079201002,Est
1,3,01,003,1707901003,17079201003,Centre
1,4,01,004,1707901004,17079201004,Centre
1,5,01,005,1707901005,17079201005,Est
1,6,01,006,1707901006,17079201006,Est
2,1,02,001,1707902001,17079202001,Centre
2,10,02,010,1707902010,17079202010,Eixample
2,11,02,011,1707902011,17079202011,Eixample
2,12,02,012,1707902012,17079202012,Eixample
2,13,02,013,1707902013,17079202013,Eixample
2,14,02,014,1707902014,17079202014,Sud
2,15,02,015,1707902015,17079202015,Sud
2,16,02,016,1707902016,17079202016,Sud
2,17,02,017,1707902017,17079202017,Sud
2,18,02,018,1707902018,17079202018,Sud
2,19,02,019,1707902019,17079202019,Eixample
2,2,02,002,1707902002,17079202002,Eixample
2,20,02,020,1707902020,17079202020,Sud
2,21,02,021,1707902021,17079202021,Eixample
2,22,02,022,1707902022,17079202022,Eixample
2,3,02,003,1707902003,17079202003,Eixample
2,4,02,004,1707902004,17079202004,Eixample
2,5,02,005,1707902005,17079202005,Eixample
2,6,02,006,1707902006,17079202006,Eixample
2,7,02,007,1707902007,17079202007,Eixample
2,8,02,008,1707902008,17079202008,Eixample
2,9,02,009,1707902009,17079202009,Sud
3,1,03,001,1707903001,17079203001,Centre
3,10,03,010,1707903010,17079203010,Mas Xirgu
3,11,03,011,1707903011,17079203011,Santa Eugènia de Ter
3,12,03,012,1707903012,17079203012,Eixample
3,13,03,013,1707903013,17079203013,Santa Eugènia de Ter
3,14,03,014,1707903014,17079203014,Santa Eugènia de Ter
3,15,03,015,1707903015,17079203015,Eixample
3,16,03,016,1707903016,17079203016,Eixample
3,17,03,017,1707903017,17079203017,Santa Eugènia de Ter
3,18,03,018,1707903018,17079203018,Santa Eugènia de Ter
3,19,03,019,1707903019,17079203019,Eixample
3,2,03,002,1707903002,17079203002,Eixample
3,20,03,020,1707903020,17079203020,Eixample
3,21,03,021,1707903021,17079203021,Santa Eugènia de Ter
3,3,03,003,1707903003,17079203003,Eixample
3,4,03,004,1707903004,17079203004,Eixample
3,5,03,005,1707903005,17079203005,Eixample
3,6,03,006,1707903006,17079203006,Eixample
3,7,03,007,1707903007,17079203007,Eixample
3,8,03,008,1707903008,17079203008,Santa Eugènia de Ter
3,9,03,009,1707903009,17079203009,Santa Eugènia de Ter
4,1,04,001,1707904001,17079204001,Centre
4,2,04,002,1707904002,17079204002,Est
5,1,05,001,1707905001,17079205001,Montjuïc
5,2,05,002,1707905002,17079205002,Nord
5,3,05,003,1707905003,17079205003,Nord
5,4,05,004,1707905004,17079205004,Est
5,5,05,005,1707905005,17079205005,Nord
5,6,05,006,1707905006,17079205006,Montjuïc
6,1,06,001,1707906001,17079206001,Oest
6,2,06,002,1707906002,17079206002,Oest
6,3,06,003,1707906003,17079206003,Oest
6,4,06,004,1707906004,17079206004,Oest
6,5,06,005,1707906005,17079206005,Oest
